종목코드	기업명	업종
24840	갑을메탈	1차 비철금속 제조업
860	강남제비스코	화학제품 제조업
217730	강스템바이오텍	기초 의약물질 및 생물학적 제제 제조업
35250	강원랜드	유원지 및 오락관련 서비스업
11420	갤럭시아에스엠	스포츠 서비스업
94480	갤럭시아컴즈	소프트웨어 개발 및 공급업
63080	게임빌	금융업
39240	경남스틸	1차 철강 제조업
53950	경남제약	의약품 제조업
2100	경농	"비료, 농약 및 살균, 살충제 제조업"
9450	경동나비엔	가정용 기기 제조업
267290	경동도시가스	연료용 가스 제조 및 배관공급업
12320	경동인베스트	금융업
11040	경동제약	의약품 제조업
50	경방	방적 및 가공사 제조업
214390	경보제약	기초 의약물질 및 생물학적 제제 제조업
12610	경인양행	기초 화학물질 제조업
9140	경인전자	전자부품 제조업
24910	경창산업	자동차 신품 부품 제조업
13580	계룡건설산업	토목 건설업
12200	계양전기	일반 목적용 기계 제조업
4200	고려개발	토목 건설업
2140	고려산업	"곡물가공품, 전분 및 전분제품 제조업"
198440	고려시멘트	"시멘트, 석회, 플라스터 및 그 제품 제조업"
49720	고려신용정보	사업지원 서비스업
10130	고려아연	1차 비철금속 제조업
2240	고려제강	1차 철강 제조업
14570	고려제약	의약품 제조업
98460	고영	특수 목적용 기계 제조업
38530	골드퍼시픽	생활용품 도매업
307870	골든브릿지이안5호	금융 지원 서비스업
1290	골든브릿지증권	금융 지원 서비스업
900280	골든센츄리	금융업
215000	골프존	소프트웨어 개발 및 공급업
121440	골프존뉴딘홀딩스	금융업
183410	골프존데카	"측정, 시험, 항해, 제어 및 정밀기기 제조업; 광학기기 제외"
76340	관악산업	기반조성 및 시설물 축조관련 전문공사업
9290	광동제약	의약품 제조업
14200	광림	자동차용 엔진 및 자동차 제조업
17040	광명전기	"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
17900	광전자	반도체 제조업
37710	광주신세계	종합 소매업
26910	광진실업	1차 철강 제조업
90150	광진윈텍	자동차 신품 부품 제조업
267320	교보7호스팩	금융 지원 서비스업
307280	교보8호스팩	금융 지원 서비스업
30610	교보증권	금융 지원 서비스업
53270	구영테크	자동차 신품 부품 제조업
7690	국도화학	기초 화학물질 제조업
5320	국동	생활용품 도매업
1140	국보	도로 화물 운송업
66620	국보디자인	실내건축 및 건축마무리 공사업
43650	국순당	알코올음료 제조업
6050	국영지앤엠	유리 및 유리제품 제조업
60480	국일신동	1차 비철금속 제조업
78130	국일제지	종이 및 판지 제품 제조업
2720	국제약품	의약품 제조업
243870	굿센	"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
19010	그랜드백화점	종합 소매업
83420	그린케미칼	화학제품 제조업
186230	그린플러스	1차 비철금속 제조업
14530	극동유화	석유 정제품 제조업
900070	글로벌에스엠	금융업
204620	글로벌텍스프리	금융 지원 서비스업
19660	글로본	상품 종합 도매업
14280	금강공업	1차 철강 제조업
53260	금강철강	1차 철강 제조업
8870	금비	유리 및 유리제품 제조업
1570	금양	기초 화학물질 제조업
2990	금호산업	건물 건설업
11780	금호석유화학	기초 화학물질 제조업
214330	금호에이치티	자동차 신품 부품 제조업
1210	금호전기	전구 및 조명장치 제조업
73240	금호타이어	고무제품 제조업
36190	금화피에스시	전기 및 통신 공사업
49080	기가레인	특수 목적용 기계 제조업
35460	기산텔레콤	통신 및 방송 장비 제조업
92440	기신정기	특수 목적용 기계 제조업
270	기아자동차	자동차용 엔진 및 자동차 제조업
24110	기업은행	은행 및 저축기관
13700	까뮤이앤씨	건물 건설업
4540	깨끗한나라	"펄프, 종이 및 판지 제조업"
187790	나노	기초 화학물질 제조업
74610	나노메딕스	일반 목적용 기계 제조업
151910	나노스	전자부품 제조업
121600	나노신소재	화학제품 제조업
39860	나노엔텍	의료용 기기 제조업
91970	나노캠텍	플라스틱제품 제조업
244880	나눔테크	의료용 기기 제조업
288490	나라소프트	소프트웨어 개발 및 공급업
51490	나라엠앤디	특수 목적용 기계 제조업
190510	나무가	전자부품 제조업
242040	나무기술	소프트웨어 개발 및 공급업
89600	나스미디어	광고업
293580	나우아이비캐피탈	금융업
138610	나이벡	의료용품 및 의약 관련제품 제조업
130580	나이스디앤비	사업지원 서비스업
36800	나이스정보통신	전기 통신업
1260	남광토건	토목 건설업
8350	남선알미늄	1차 비철금속 제조업
4270	남성	전문 도매업
3920	남양유업	낙농제품 및 식용빙과류 제조업
2070	남영비비안	봉제의복 제조업
25860	남해화학	"비료, 농약 및 살균, 살충제 제조업"
111710	남화산업	스포츠 서비스업
91590	남화토건	건물 건설업
168330	내츄럴엔도텍	자연과학 및 공학 연구개발업
72770	네오디안테크놀로지	"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
253590	네오셈	"측정, 시험, 항해, 제어 및 정밀기기 제조업; 광학기기 제외"
212560	네오오토	자동차 신품 부품 제조업
95660	네오위즈	소프트웨어 개발 및 공급업
42420	네오위즈홀딩스	금융업
85910	네오티스	자동차 신품 부품 제조업
92730	네오팜	화학제품 제조업
290660	네오펙트	의료용 기기 제조업
153460	네이블커뮤니케이션즈	소프트웨어 개발 및 공급업
7390	네이처셀	비알코올음료 및 얼음 제조업
86220	네추럴FNP	식품 제조업
33640	네패스	반도체 제조업
87730	네패스신소재	합성고무 및 플라스틱 물질 제조업
5720	넥센	금융업
2350	넥센타이어	고무제품 제조업
89140	넥스턴	유리 및 유리제품 제조업
65170	넥스트BT	음·식료품 및 담배 도매업
139670	넥스트리밍	소프트웨어 개발 및 공급업
3580	넥스트사이언스	비금속광물 광업
137940	넥스트아이	"측정, 시험, 항해, 제어 및 정밀기기 제조업; 광학기기 제외"
41140	넥슨지티	소프트웨어 개발 및 공급업
217270	넵튠	소프트웨어 개발 및 공급업
225570	넷게임즈	소프트웨어 개발 및 공급업
